p_name,p_price,p_score,p_region,p_year
Regnie Domaine de la Grange-Barjot,12,84,Beaujolais,1993
Fleurie Clos des Moriers,17,74,Beaujolais,1997
Meursault Les Luchets,50,92,Burgundy,1996
Cote de Brouilly Domaine de la Voute des Crozes,14,87,Beaujolais,1996
Vinho Verde Paco de Teixeiro,12,74,Portugal,1997
Merlot California Vintner's Reserve,17,82,Other California,1997
Barolo,27,75,Piedmont,1994
Zinfandel Mendocino DuPratt Vineyard,20,89,Mendocino Lake,1995
Fume Blanc Sonoma County,10,86,Sonoma,1995
Fume Blanc Sonoma County,10,80,Sonoma,1993
Johannisberg Riesling New York Salmon Run,9,80,New York,1998
Chianti Classico Tenuta Montegiachi Riserva,20,82,Tuscany,1993
Pinot Noir Mendoza Uvas del Sol,10,75,Argentina,1998
Syrah Central Coast,13,84,Other California,1996
Cote-Rotie Coteau de Bassenon,35,90,Rhone,1994
Pineau des Charentes Grande Reserve Selection Robert Hass,23,82,Other France,
Chablis,,87,Burgundy,1996
Vosne-Romanee Les Beaux Monts,32,94,Burgundy,1993
Zinfandel Napa Valley,16,84,Napa,1997
Pinot Noir Santa Ynez Valley Sanford & Benedict Vineyard,25,88,South Coast,1993
Cabernet Sauvignon Napa Valley Lupine Hill Vineyard,36,88,Napa,1995
Meursault Les Chevalieres,48,82,Burgundy,1997
St.-Estephe,18,85,Bordeaux,1995
Pinot Grigio Trentino Torre di Luna Mosaico,10,81,Northeast,1993
Chianti Classico Riserva,22,77,Tuscany,1996
Cabernet Sauvignon California,9,86,Other California,1992
Barbera d'Alba Fides,39,86,Piedmont,1997
Gewurztraminer Alsace Grand Cru Altenberg de Bergheim Vendanges Tardives,45,87,Alsace,1993
Chianti Classico Riserva,,87,Tuscany,1995
Chardonnay Russian River Valley,15,86,Sonoma,1996
Cabernet Franc Niagara Peninsula Family Reserve,33,78,Canada,1997
Zinfandel Mendocino,18,87,Mendocino Lake,1996
Viognier Columbia Valley Vineyard Selection,15,89,Washington,1999
Puligny-Montrachet Les Referts,,91,Burgundy,1992
Chardonnay Santa Barbara County,15,90,South Coast,1993
Clos de Vougeot,118,91,Burgundy,1998
Chardonnay Sonoma Valley,14,89,Sonoma,1995
Merlot Yakima Valley,18,80,Washington,1994
Coteaux du Layon-Chaume Les Julines,,91,Loire,1997
Riesling Rheinhessen,7,73,Germany,1994
St.-Aubin En Charmois,32,86,Burgundy,1996
Riesling Finger Lakes Dry,8,75,Finger Lakes,1992
Sauvignon Blanc Monterey Ventana Vineyard Musque,17,90,Bay Area - Central Coast,1996
Rully,23,79,Burgundy,1998
Pinot Noir Willamette Valley Ridgecrest Vineyards Rion Reserve,42,91,Oregon,1994
Riesling Auslese Mosel-Saar-Ruwer Bernkasteler alte Badstube am Doctorberg,32,85,Germany,1992
Merlot Columbia Valley,18,86,Washington,1997
Cabernet Sauvignon Napa Valley,22,84,Napa,1995
Meursault Poruzot,30,83,Burgundy,1995
Merlot Western Cape,10,84,South Africa,1997
Paros,9,82,Greece,1995
Pouilly-Fuisse Rocqenvert,19,83,Burgundy,1994
Fronsac,,,Bordeaux,1998
